Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,672572,,,,9271146,,149040713,,,4
H4,2016,2016,2016,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1514344,,,,18607803,,190817307,,,0
H4,2016,2016,2016,6,1,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,960195,,1924884,,,2
H4,2016,2016,2016,6,1,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,0,,,,4148,,19007,,,2
H4,2016,2016,2016,6,1,1,Import,388,Jamaica,JAM,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,883760,,1170273,,,0
H4,2016,2016,2016,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,6849385,,,,53894989,,704221047,,,4
H4,2016,2016,2016,6,1,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,3161422,,,,2042880,,49630257,,,4
H4,2016,2016,2016,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,297828,,,,3728453,,10025050,,,0
H4,2016,2016,2016,6,1,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",5,Number of items,1478,,,,21427,,59045,,,0
H4,2016,2016,2016,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,871200,"Bicycles and other cycles; including delivery tricycles, not motorised",1,No Quantity,,,,,264076,,2830065,,,0
